IMPORTANT DETAIL,
,1871.764321
,1871.296219
,1864.567422
,1859.570863
,1851.765195
,1851.207558
,1818.822892
,1811.407994
,1793.671188
,1776.945548
,1773.079273
,1759.824024
,1750.014906
,1743.890313
,1742.081303
,1717.051699
,1699.586058
,1672.883863
,1669.035771
,1662.811469
,1660.179821
,1646.814064
,1641.651543
,1617.771294
,1598.995874
,1583.432688
,1578.168005
,1573.917799
,1537.223072
,1536.927813
,1536.511145
,1517.574961
,1512.260431
,1498.434119
,1485.652507
,1481.596739
,1452.723867
,1429.359725
,1425.061899
,1420.248361
,1417.751438
,1411.338908
,1371.13733
,1370.805842
,1367.210909
,1358.278778
,1344.486327
,1344.094639
,1343.880787
,1343.072014
,1331.838489
,1319.714198
,1317.933763
,1316.113744
,1310.74957
,1288.34338
,1266.688586
,1248.430169
,1213.347982
,1196.133517
,1192.757055
,1189.164401
,1187.154575
,1186.344421
,1185.526029
,1185.354877
,1180.967941
,1178.978772
,1166.987141
,1150.937716
,1150.668124
,1149.720252
,1146.233215
,1130.307639
,1127.95511
,1119.488632
,1118.881298
,1117.717844
,1109.105357
,1085.592942
,1077.725806
,1075.640485
,1074.152011
,1047.502882
,1041.452019
,1033.074039
,984.9459447
,983.387558
,977.1638668
,970.6706703
,967.9356368
,965.573943
,951.9803408
,938.7645405
,922.5752569
,864.4556542
,856.7153775
,856.2627722
,840.2085453
,836.0830828
,836.003325
,834.5295239
,833.7331127
,826.2512921
,817.0594118
,816.1965809
,814.4975775
,801.8038617
,801.0560415
,782.6671792
,781.236718
,780.5470502
,776.5347409
,773.61895
,771.8593933
,769.125222
,759.4900014
,744.6329919
,742.6119568
,731.78146
,730.5871877
,722.7926481
,719.0643262
,716.3747583
,713.8261264
,708.8842409
,708.0045785
,703.476939
,702.2853484
,701.848365
,701.8094831
,688.5869981
,681.8247313
,680.7383352
,673.7881202
,673.2611145
,670.3687158
,664.0078902
,657.3951263
,657.3474309
,656.4873687
,653.4207216
,637.229355
,630.9125862
,629.888201
,621.89531
,620.6080154
,619.3205881
,613.6714586
,609.2125931
,606.2529233
,606.0204927
,602.658682
,598.5626489
,597.2477353
,592.1301181
,587.7190357
,584.0399792
,583.8889121
,581.3897736
,574.0668806
,573.6077257
,572.6790555
,571.1361122
,566.9756251
,564.3442223
,562.2428813
,554.198933
,553.7833467
,547.7515922
,542.9126659
,542.5357344
,541.9530274
,536.2893054
,533.2422569
,532.9232531
,529.8995704
,529.4534848
,523.0880758
,521.6408693
,521.3667306
,508.6000191
,507.7739601
,502.9562671
,492.8762635
,490.9243443
,487.0915497
,476.571546
,474.089801
,474.0312588
,472.7711083
,466.8517722
,463.5421258
,445.6399191
,443.7353233
,443.1174474
,440.5578032
,430.2971575
,427.1227346
,424.1654133
,419.6624452
,416.7908714
,412.6189927
,405.0321193
,396.0717086
,393.8068576
,389.4933129
,385.7893799
,380.8440339
,378.0208119
,374.6236485
,370.285694
,369.671291
,369.6541303
,368.4949284
,364.2090451
,363.8523296
,355.4150459
,330.1029534
,328.2379036
,324.4677382
,313.5068196
,305.734101
,286.079984
,286.0325099
,274.9638797
,259.1522294
,252.5341208
,228.9434939
,224.9275384
,210.6022673
,210.3989743
,209.7385591
,195.7873078
,185.5395072
,184.3713555
,158.8478048
,112.653832
,54.06772478
,36.47652665
,34.77300969
,16.46578978
,-6.21609398
,-202.8483754
,-222.3412181
,-246.68925
,-350.2444343
,-373.2875686
,-432.2297409
,-545.4528958
,-694.1098192
,-714.3147509
,-778.6731541
,-882.2019678
,-895.582971
,-1147.449422
,-1194.817876
,-1211.612399
,-1269.476358
,-1731.237543
,-2356.909326
,-2967.840297
,-3021.319292
,-3193.626054
,-3268.992827
,-3461.840016
,-3649.949549
,-3803.036357
,-3899.801261
,-4320.724383
,-4697.091741
,-5168.822444
,-5776.005831
,-5883.206523
,-6577.276717
,-6812.385042
,-8550.382757
,-8896.977618
,-9044.894219
,-9153.974925
,-9640.309291
,-9944.203092
,-10386.93078
,-10495.64223
,-11873.8652
,-11874.79134
,-12750.5677
,-13033.83571
,-13485.4866
,-14825.0114
,-15848.17711
,-26786.3959
,-41890.18091
,-56965.44814
